Today 8/3/1997 is a day that we will never forget. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 08/04/1997 (B) 12/04/1996 (C) 08/04/1901 (D) 08/04/2004 (E) 08/01/1997 (F) 08/07/1997,The day after 8/3/1997 is 8/4/1997. Therefore among A through F the answer is A.
May 6 1992 is like yesterday to Jane but that is actually ten years ago. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 05/28/2002 (B) 04/07/2003 (C) 04/16/2002 (D) 05/07/2036 (E) 05/07/2002,Jane says that May 6 1992 is like yesterday. That means today is May 7 2002. Therefore tomorrow is May 8 2002. The answer is E. Therefore among A through F the answer is E.
It is 4/19/1969 today. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 04/27/1969 (B) 05/11/1969 (C) 04/25/1969 (D) 04/26/1969 (E) 05/14/1969 (F) 04/05/1969,Today is 4/19/1969. One week from today would be 4/26/1969. Therefore among A through F the answer is D.
Tomorrow is 11/12/2019. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 10/11/2019 (B) 10/12/2019 (C) 10/16/2019 (D) 10/10/2019 (E) 10/11/1974 (F) 10/11/2018,A month ago would be 10 months. The year is 2019. 2019-10=2009Therefore the answer is 10/11/2009. Therefore among A through F the answer is A.
The deadline is Jun 1 2021 which is 2 days away from now. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 05/21/2021 (B) 06/24/2021 (C) 05/20/2021 (D) 04/06/2021 (E) 04/29/2021,The deadline is Jun 1 2021. Jun 1 2021 is 2 days away from now. Now is May 29 2021. Therefore 10 days ago was May 19 2021. The answer is (C). Therefore among A through F the answer is C.
Today's meeting is rescheduled to 11 am tomorrow 10/16/1924. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 10/14/1924 (B) 10/14/2004 (C) 10/14/1935 (D) 09/14/1925 (E) 10/15/1924 (F) 10/22/1924,The meeting is rescheduled from today to tomorrow. Today is 10/15/1924 so yesterday was 10/14/1924. Therefore among A through F the answer is A.
Today is Sep 9 1909. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 08/11/1909 (B) 09/15/1909 (C) 09/08/1909 (D) 07/24/1909 (E) 09/08/1962 (F) 09/09/1909,First we need to determine what day of the week September 9 1909 is. We can use a calendar or an online day of the week calculator. September 9 1909 is a Thursday.Next we need to count back one day. Since September 9 1909 is a Thursday the day before is Wednesday September 8 1909.Therefore the answer is C. Therefore among A through F the answer is C.
Today is Sep 9 1909. What is the date today in MM/DD/YYYY? Answer Choices: (A) 09/30/1909 (B) 09/09/1939 (C) 09/09/1909 (D) 12/11/1909 (E) 09/09/1886 (F) 11/19/1909,First we need to figure out how many years months and days have passed since September 9 1909. According to the Gregorian calendar 4 years have passed since 1909. There have been 12 months in those 4 years so 48 months have passed. There are 365 days in a year so 365*4=1460 days have passed. Now we need to figure out how many days have passed since September 9th. September has 30 days. 9 days have passed since September 9th so 9+30=39 days have passed in September.  Therefore among A through F the answer is C.
Today is 9/7. Jane is watching NFL 2003. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 08/31/2074 (B) 06/30/2004 (C) 08/30/2003 (D) 08/31/2003 (E) 09/05/2003,One week ago today would be 9/7 - 7 days which would be 9/0. However there is no September 0 so one week ago would actually be 8/31/2003. The answer is (D). Therefore among A through F the answer is D.
The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 06/01/1943 (B) 06/04/1943 (C) 06/01/2005 (D) 05/27/1943 (E) 03/20/1943 (F) 05/24/1943,The concert was scheduled to be on 06/01/1943 which was a Wednesday. The concert was delayed by one day so it was held on 06/02/1943 which was a Thursday. Therefore the date yesterday was 06/01/1943 which was a Wednesday. The answer is (A). Therefore among A through F the answer is A.
This is the last day of 1899. What is the date today in MM/DD/YYYY? Answer Choices: (A) 09/26/1899 (B) 11/30/1899 (C) 12/22/1899 (D) 01/09/1900 (E) 12/31/1885 (F) 12/31/1899,The last day of 1899 is December 31st. The date today is December 31st so the answer is (F). Therefore among A through F the answer is (F).
Yesterday Jan 21 2011 Jane ate 2 pizzas and 5 wings. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 12/31/2010 (B) 02/13/2011 (C) 01/22/2011 (D) 01/23/2011 (E) 12/26/2010 (F) 01/24/2011,Yesterday was Jan 21 2011. Today is Jan 22 2011. Therefore tomorrow is Jan 23 2011. The answer is D. Therefore among A through F the answer is D.
Today's meeting is rescheduled to 11 am tomorrow 10/16/1924. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 09/16/1923 (B) 10/14/1923 (C) 07/11/1923 (D) 10/06/1923 (E) 10/15/1923 (F) 10/13/1923,The meeting is rescheduled to 11 am tomorrow 10/16/1924. That means that today is 10/15/1924. One year ago from today would be 10/15/1923. Therefore among A through F the answer is E.
Tomorrow is 11/12/2019. What is the date today in MM/DD/YYYY? Answer Choices: (A) 11/11/2020 (B) 11/25/2019 (C) 11/11/2042 (D) 11/11/2019 (E) 11/12/2019 (F) 11/01/2019,The day after 11/12/2019 is 11/13/2019. Therefore the day before 11/12/2019 is 11/11/2019. Therefore among A through F the answer is D.
Today is the last day of the first quarter of 2008. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 03/30/2009 (B) 03/30/2008 (C) 07/30/2008 (D) 03/31/2008 (E) 11/30/2007 (F) 04/07/2008,The first quarter of 2008 ended on March 31 2008. The day before March 31 2008 was March 30 2008. Therefore the answer is B. Therefore among A through F the answer is B.
The concert was scheduled to be on 06/01/1943 but was delayed by one day to today. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 07/04/1943 (B) 03/15/1943 (C) 08/03/1942 (D) 06/03/1943 (E) 06/02/1943 (F) 05/06/1943,The concert was scheduled to be on 06/01/1943 but was delayed by one day. This means that the concert was originally supposed to be on 06/01/1943 but it was pushed back to 06/02/1943. Therefore the date tomorrow in MM/DD/YYYY is 06/03/1943. Therefore among A through F the answer is D.
Today 8/3/1997 is a day that we will never forget. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 08/10/1997 (B) 03/10/1997 (C) 08/07/1997 (D) 08/24/1997 (E) 08/10/1928 (F) 08/10/1955,One week from today would be 8 + 7 = 15. The day of the week would be Friday so the date would be 15/03/1997. Therefore among A through F the answer is A.
May 6 1992 is like yesterday to Jane but that is actually ten years ago. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 11/13/2001 (B) 03/13/2003 (C) 05/13/2044 (D) 06/10/2002 (E) 05/13/2002,Ten years ago from May 6 1992 is May 6 2002. One week from that date would be May 13 2002. The answer is (E) 05/13/2002. Therefore among A through F the answer is E.
Jane visits the bookstore on the 16th of each month starting from the October of 2009. It is her 5th visit to the bookstore today. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 02/16/2004 (B) 01/26/2009 (C) 08/16/2009 (D) 02/15/2009 (E) 02/16/2009 (F) 03/13/2009,Jane visits the bookstore on the 16th of each month. The 5th visit today means that today is the 16th of the 5th month. The 5th month is May so one year ago from today was May 16th. May 16th was in 2018 so the answer is 05/16/2018. The answer is (E). Therefore among A through F the answer is E.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. John is correct. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 08/26/2019 (B) 06/19/2019 (C) 06/26/2019 (D) 06/24/2019 (E) 07/03/2019 (F) 06/25/2019,Jane thinks today is 6/18/2019 which is Tuesday. If today is Tuesday then one week from today would be Tuesday again. But John thinks today is 6/19/2019 which is Wednesday. So one week from today would be Wednesday. The answer is C. Therefore among A through F the answer is C.
Jane is celebrating the last day of Jan 2012. What is the date today in MM/DD/YYYY? Answer Choices: (A) 01/21/2012 (B) 01/29/2012 (C) 01/30/2012 (D) 03/22/2012 (E) 02/10/2012 (F) 01/31/2012,Jane is celebrating the last day of Jan 2012. The last day of Jan 2012 is Jan 31st. Today's date is Jan 31st. Therefore the date today is 01/31/2012. Therefore among A through F the answer is F.
Jane visits the bookstore on the 16th of each month starting from the October of 2009. It is her 5th visit to the bookstore today. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 02/16/2010 (B) 02/17/2010 (C) 02/21/2010 (D) 03/27/2010 (E) 02/23/2010 (F) 02/03/2010,Jane visits the bookstore on the 16th of each month. The 5th visit today means that today is the 16th day of the 5th month. The 5th month is May so the date is 05/16/2010. 24 hours later is 05/17/2010. Therefore among A through F the answer is B.
On May 9th 2017 Jane bought 40 eggs. She ate one per day. Today she ran out of eggs. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 07/18/2015 (B) 06/18/2030 (C) 09/18/2016 (D) 06/22/2016 (E) 06/25/2016 (F) 06/18/2016,May 9th 2017 is 5/9/2017. If we go back one year from that date it would be 5/9/2016. But the question is asking for the date one year ago from TODAY which would be 6/18/2016. Therefore among A through F the answer is F.
Today is 9/7. Jane is watching NFL 2003. What is the date today in MM/DD/YYYY? Answer Choices: (A) 12/05/2003 (B) 08/08/2003 (C) 09/06/2003 (D) 11/20/2003 (E) 07/07/2003 (F) 09/07/2003,First we are given that it is NFL 2003. That means that it is September and the year is 2003. Therefore the date today is 09/07/2003. Therefore among A through F the answer is F.
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 01/08/2019 (B) 10/22/2018 (C) 02/08/2018 (D) 01/08/2043 (E) 01/08/1960 (F) 01/01/2019,The first day of 2019 is a Tuesday. Today is the first Monday of 2019. That means that tomorrow is the second Tuesday of 2019. The date 24 hours later is 01/08/2019. Therefore among A through F the answer is A.
Today is the second day of the third month of 1966. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 03/26/1966 (B) 02/22/1966 (C) 12/09/1965 (D) 03/02/1966 (E) 03/28/1966 (F) 03/09/1966,Today is the second day of the third month of 1966. One week from today would be the ninth day of the third month of 1966. Therefore the date one week from today is 03/09/1966. Therefore among A through F the answer is F.
Today is the first day of 2007. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 01/18/2007 (B) 01/07/2007 (C) 01/01/2007 (D) 01/09/2007 (E) 05/31/2006 (F) 12/31/2006,The first day of 2007 is 01/01/2007. The day before 01/01/2007 is 12/31/2006. Therefore the answer is 12/31/2006. Therefore among A through F the answer is (F).
Today is 3/5 and it is Jane's second time in the year 1973 to see a meteor shower. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 03/12/1973 (B) 03/05/1972 (C) 03/02/1973 (D) 03/08/1983 (E) 01/02/1973 (F) 04/05/1973,The date one week from today is 3/12/1973. Therefore among A through F the answer is A.
Today is 9/7. Jane is watching NFL 2003. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 09/08/2003 (B) 09/08/1916 (C) 09/15/2003 (D) 09/13/2003 (E) 08/18/2003 (F) 09/01/2003,Today is September 7th. Jane is watching NFL 2003. The year is 2003. So tomorrow's date would be September 8th 2003 which would be written as 09/08/2003. Therefore among A through F the answer is A.
Today is the first day of 2007. What is the date 10 days ago in MM/DD/YYYY? Answer Choices: (A) 12/22/2006 (B) 12/22/1961 (C) 12/23/2006 (D) 02/24/2007 (E) 12/21/2006 (F) 01/31/2007,The first day of 2007 is January 1st. Ten days ago would be December 22nd. Therefore the answer is 12/22/2006. Therefore among A through F the answer is A.
Jane thinks today is 6/18/2019 but John thinks today is 6/19/2019. Jane is correct. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 06/19/2011 (B) 12/19/2019 (C) 05/14/2019 (D) 06/19/2019 (E) 06/18/2019 (F) 06/20/2019,Jane thinks today is 6/18/2019. John thinks today is 6/19/2019. Jane is correct. Therefore the date tomorrow in MM/DD/YYYY is 06/19/2019. Therefore among A through F the answer is D.
Today's meeting is rescheduled to 11 am tomorrow 10/16/1924. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 10/08/2019 (B) 10/07/1924 (C) 11/06/1924 (D) 08/08/1925 (E) 04/08/1925 (F) 10/08/1924,The meeting is rescheduled to 11 am tomorrow 10/16/1924. That means that today is 10/15/1924. One week ago from today would be 10/08/1924. Therefore the answer is (F) 10/08/1924. Therefore among A through F the answer is (F).
In the US Thanksgiving is on the fourth Thursday of November. Today is the US Thanksgiving of 2001. What is the date one week from today in MM/DD/YYYY? Answer Choices: (A) 11/29/2078 (B) 11/30/2002 (C) 12/11/2002 (D) 12/27/2002 (E) 11/15/2002 (F) 11/29/2002,The fourth Thursday of November is Thanksgiving. Today is Thanksgiving of 2001. One week from today would be Thursday which is the day after Thanksgiving. Therefore one week from today would be 11/29/2002. Therefore among A through F the answer is F.
Today is Sep 9 1909. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 05/09/1910 (B) 08/19/1909 (C) 08/09/1820 (D) 08/09/1909 (E) 08/08/1909 (F) 08/10/1909,A month ago would be 8 months ago which would be in January. January of what year? The question says "Today is Sep 9 1909." This means that it is currently September 9th 1909. A month ago would be August 9th 1909. Therefore the answer is 08/09/1909. Therefore among A through F the answer is D.
The current local time is 3:02 pm of 5/4/2004. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 05/06/2004 (B) 05/04/2004 (C) 05/05/1915 (D) 02/15/2004 (E) 01/05/2005 (F) 05/05/2004,The current local time is 3:02 pm of 5/4/2004. That means it is currently May 4th 2004. Tomorrow would be May 5th 2004. Therefore the answer is 05/05/2004. Therefore among A through F the answer is F.
In the US Thanksgiving is on the fourth Thursday of November. Today is the US Thanksgiving of 2001. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 10/15/2002 (B) 10/21/2002 (C) 10/22/2002 (D) 10/22/1923 (E) 07/21/2002 (F) 11/22/2001,The fourth Thursday of November is Thanksgiving. A month ago would be October. The fourth Thursday of October is October 22 2002. Therefore the answer is C. Therefore among A through F the answer is C.
